Id,Name,CourseCode,CourseUnit,Semester,Description,courseCategory,DegreeId,DepartmentId,LevelId,Status,Prerequisite,InstitutionProviderId,CreatedDate,UpdatedDate
1465,Effective Communication Skills,GES101,3,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1466,Use of Library,GES102,0,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1467,Use of French I,GES103,0,0,,0,2,7,1,,,,1900-01-01,1900-01-02
1468,Use of French,GES104,0,0,,0,2,7,1,,,,1900-01-01,1900-01-02
1469,Effective Communication Skills I,GES1101,2,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1470,Effective Communication Skills I,GES1101,2,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1471,Use of Library,GES1102,1,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1472,Use of Library,GES1102,1,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1473,Use of Library,GES1102B,0,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1474,Use of French I,GES1103,0,1,,1,2,7,1,,,,1900-01-01,1900-01-02
1475,Use of French I,GES1103,0,1,,1,2,7,1,,,,1900-01-01,1900-01-02
1476,Use of French I,GES1103B,0,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1477,Communication in English 1,GES1104,2,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1478,Communication in English 1,GES1104,2,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1479,Use of Library Study Skills and  Information & Communication Technology,GES1105,2,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1480,Use of Library Study Skills and  Information & Communication Technology,GES1105,2,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1481,Communication in French,GES1106,2,1,,2,2,7,1,,,,1900-01-01,1900-01-02
1482,Communication in French,GES1106,2,1,,2,2,7,1,,,,1900-01-01,1900-01-02
1483,Nigerian Peoples and Culture for Law Students.,GES1107,2,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1484,Communication in English,GES1108,3,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1485,Communication in English,GES1108,3,1,,0,2,7,1,,,,1900-01-01,1900-01-02
1486,Logic and Philosophy and Human Existence,GES1112,2,1,,2,2,7,1,,,,1900-01-01,1900-01-02
1487,Effective Communication Skills II,GES1201,2,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1488,Use of French II,GES1202,0,2,,1,2,7,1,,,,1900-01-01,1900-01-02
1489,Use of French,GES1202B,0,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1490,Introduction to Computers,GES1203,3,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1491,Introduction to Computers,GES1203,3,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1492,Ethics and Citizenship Education,GES1204,2,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1493,Ethics and Citizenship Education,GES1204,2,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1494,Introduction to Health Education,GES1205,2,2,,1,2,7,1,,,,1900-01-01,1900-01-02
1495,Introduction to Health Education,GES1205,2,2,,1,2,7,1,,,,1900-01-01,1900-01-02
1496,Communication in French,GES1206,2,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1497,Communication in French,GES1206,2,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1498,Peace and Conflict Resolution I,GES1207,2,2,,2,2,7,1,,,,1900-01-01,1900-01-02
1499,Peace and Conflict Resolution I,GES1207,2,2,,2,2,7,1,,,,1900-01-01,1900-01-02
1500,History and Philosophy of Science for Law Students,GES1208,2,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1501,Anglicanism and Christian Ethics,GES1209,2,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1502,Anglicanism and Citizenship Education,GES1209,2,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1503,Anglicanism and Citizenship Education,GES1209,2,2,,0,2,7,1,,,,1900-01-01,1900-01-02
1504,Introduction To Computer,GES201,3,1,,0,2,7,2,,,,1900-01-01,1900-01-02
1505,Intro To History & Phil. of Science,GES202,0,2,,0,2,7,2,,,,1900-01-01,1900-01-02
1506,Intro To Computer Application,GES203,0,0,,0,2,7,2,,,,1900-01-01,1900-01-02
1507,Citizenship Education,GES204,0,0,,0,2,7,2,,,,1900-01-01,1900-01-02
1508,Intro To Logic & Phil.,GES205,0,0,,0,2,7,2,,,,1900-01-01,1900-01-02
1509,Use of French IV,GES206,0,0,,0,2,7,2,,,,1900-01-01,1900-01-02
1510,Computer Applications,GES2101,3,1,,0,2,7,2,,,,1900-01-01,1900-01-02
1511,Computer Applications,GES2101,3,1,,0,2,7,2,,,,1900-01-01,1900-01-02
1512,Introduction to Logic  and  Philophy,GES2102,2,1,,0,2,7,2,,,,1900-01-01,1900-01-02
1513,Introduction to Logic  and  Philophy,GES2102,2,1,,0,2,7,2,,,,1900-01-01,1900-01-02
1514,Entrepreneurial Education I,GES2103,0,1,,1,2,7,2,,,,1900-01-01,1900-01-02
1515,Entrepreneurial Education I,GES2103,0,1,,1,2,7,2,,,,1900-01-01,1900-01-02
1516,Entrepreneurial Education I,GES2103B,0,1,,0,2,7,2,,,,1900-01-01,1900-01-02
1517,Communication in English II,GES2104,2,1,,0,2,7,2,,GES1104,,1900-01-01,1900-01-02
