Id,Name,CourseCode,CourseUnit,Semester,Description,courseCategory,DegreeId,DepartmentId,LevelId,Status,Prerequisite,InstitutionProviderId,CreatedDate,UpdatedDate
1,Introduction to Financial Accounting I,ACC101,3,1,,0,2,22,1,,,,1900-01-01,1900-01-02
2,Introduction to Financial Accounting II,ACC102,3,2,,0,2,22,1,,,,1900-01-01,1900-01-02
3,Principles of Accounting I,ACC1101,3,1,,0,2,22,1,,,,1900-01-01,1900-01-02
4,Introduction to Financial Accounting I,ACC1102,3,1,,0,2,22,1,,,,1900-01-01,1900-01-02
5,Introduction  to Financial Accounting II,ACC1202,3,2,,0,2,22,1,,,,1900-01-01,1900-01-02
6,Principles of Accounting I,ACC2101,3,1,,0,2,22,2,,,,1900-01-01,1900-01-02
7,Cost Accounting I,ACC2102,3,1,,0,2,22,2,,,,1900-01-01,1900-01-02
8,Cost Accounting and Finance I,ACC2103,3,1,,0,2,22,2,,,,1900-01-01,1900-01-02
9,Principles of Accounting II,ACC2202,3,2,,2,2,22,2,,,,1900-01-01,1900-01-02
10,Principles of Accounting II,ACC2203,3,2,,0,2,22,2,,,,1900-01-01,1900-01-02
11,Cost Accounting II,ACC2204,3,2,,0,2,22,2,,,,1900-01-01,1900-01-02
12,Business Law I,ACC2205,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
13,Financial Accounting I,ACC3101,3,1,,0,2,22,3,,,,1900-01-01,1900-01-02
14,Public Sector Accounting and Finance,ACC3102,3,1,,0,2,22,3,,,,1900-01-01,1900-01-02
15,Management Information System,ACC3103,3,1,,0,2,22,3,,,,1900-01-01,1900-01-02
16,Public Sector Accounting and Finance,ACC3103,3,1,,0,2,22,3,,,,1900-01-01,1900-01-02
17,Business Law,ACC3104,3,1,,0,2,22,3,,,,1900-01-01,1900-01-02
18,Environmental Accounting ,ACC3105,3,1,,2,2,22,3,,,,1900-01-01,1900-01-02
19,Human Resources Accounting,ACC3106,3,1,,2,2,22,3,,,,1900-01-01,1900-01-02
20,Company Law,ACC3107,3,1,,0,2,22,3,,,,1900-01-01,1900-01-02
21,Financial Accounting II,ACC3205,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
22,Advanced Cost Accounting,ACC3206,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
23,Company Law,ACC3207,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
24,Auditing and Assurance,ACC3208,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
25,Research Methodology,ACC3209,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
26,Accounting Theory and International Financial Reporting,ACC3210,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
27,Taxation I,ACC3211,3,2,,0,2,22,3,,,,1900-01-01,1900-01-02
28,Business and Accounting Ethics,ACC3212,3,2,,2,2,22,3,,,,1900-01-01,1900-01-02
29,Introduction to Financial Econometrics,ACC3213,3,2,,2,2,22,3,,,,1900-01-01,1900-01-02
30,Advanced Financial Accounting,ACC4101,3,1,,0,2,22,4,,,,1900-01-01,1900-01-02
31,Management Accounting I,ACC4102,3,1,,0,2,22,4,,,,1900-01-01,1900-01-02
32,Nigerian Taxation,ACC4103,3,1,,0,2,22,4,,,,1900-01-01,1900-01-02
33,Business Policy and Strategy,ACC4104,3,1,,0,2,22,4,,,,1900-01-01,1900-01-02
34,International Accounting ,ACC4105,3,1,,0,2,22,4,,,,1900-01-01,1900-01-02
35,Strategic Financial Management,ACC4106,3,2,,0,2,22,4,,,,1900-01-01,1900-01-02
36,Taxation II,ACC4107,3,1,,0,2,22,4,,,,1900-01-01,1900-01-02
37,Auditing and Forensic Accounting,ACC4206,3,2,,0,2,22,4,,,,1900-01-01,1900-01-02
38,Auditing and Investigation,ACC4207,3,2,,0,2,22,4,,,,1900-01-01,1900-01-02
39,Management Accounting II,ACC4208,3,2,,0,2,22,4,,,,1900-01-01,1900-01-02
40,Taxation and Tax Management,ACC4209,3,2,,1,2,22,4,,,,1900-01-01,1900-01-02
41,Business Policy and Strategy II,ACC4210,3,2,,0,2,22,4,,,,1900-01-01,1900-01-02
42,Oil and Gas Accounting,ACC4211,3,2,,0,2,22,4,,,,1900-01-01,1900-01-02
43,Production Management,ACC4212,3,2,,2,2,22,4,,,,1900-01-01,1900-01-02
44,Research Project and Report,ACC4299,6,2,,0,2,22,4,,,,1900-01-01,1900-01-02
45,Entrepreneurship & Business Organization,ACU  ENT101,3,1,,1,2,23,1,,,,1900-01-01,1900-01-02
46,Entrepreneurship Study I,ACU  ENT109,0,1,,1,2,23,1,,,,1900-01-01,1900-01-02
47,Fundamentals of Architectural Design I,ACU ARC103,4,1,,0,2,15,1,,,,1900-01-01,1900-01-02
48,Fundamentals of Architectural Design I,ACU ARC103,4,2,,0,2,15,1,,,,1900-01-01,1900-01-02
49,Art Technology in Architecture,ACU ARC104,2,2,,0,2,15,1,,,,1900-01-01,1900-01-02
50,Free Hand Sketching ,ACU ARC105,2,1,,0,2,15,1,,,,1900-01-01,1900-01-02
51,Fundamentals of Planning Process and Design,ACU ARC106,2,2,,0,2,15,1,,,,1900-01-01,1900-01-02
52,Building Climatology,ACU ARC209,2,1,,0,2,15,2,,,,1900-01-01,1900-01-02
53,Traditional Yoruba Architecture,ACU ARC210,2,2,,0,2,15,2,,,,1900-01-01,1900-01-02
54,Building Maintenance,ACU ARC212,2,2,,0,2,15,2,,,,1900-01-01,1900-01-02
55,Architectural Visualisations,ACU ARC214,2,2,,0,2,15,2,,,,1900-01-01,1900-01-02
56,Introduction to Redox Biochemistry,ACU BCH2204,2,2,,2,2,25,2,,,,1900-01-01,1900-01-02
57,Data and Programming Skills for Bioscientists,ACU BCH2205,2,2,,2,2,25,2,,,,1900-01-01,1900-01-02
58,Endocrinology,ACU BCH3111,2,1,,2,2,25,3,,,,1900-01-01,1900-01-02
59,Food and Nutritional Biochemistry,ACU BCH3113,3,1,,2,2,25,3,,,,1900-01-01,1900-01-02
60,Experimental Biochemistry,ACU BCH3210,1,2,,2,2,25,3,,,,1900-01-01,1900-01-02
61,Clinical Biochemistry,ACU BCH3212,1,2,,2,2,25,3,,,,1900-01-01,1900-01-02
62,Cellular and Molecular Immunology,ACU BCH3214,2,2,,2,2,25,3,,,,1900-01-01,1900-01-02
63,Research Methods in Biochemistry,ACU BCH4109,3,1,,1,2,25,4,,,,1900-01-01,1900-01-02
64,Seminars in Biochemistry,ACU BCH4111,2,1,,1,2,25,4,,,,1900-01-01,1900-01-02
65,Tissue Biochemistry,ACU BCH4113,2,1,,2,2,25,4,,,,1900-01-01,1900-01-02
66,Cancer Biology,ACU BCH4115,2,1,,2,2,25,4,,,,1900-01-01,1900-01-02
67,Biochemical Pharmacology and Toxicology,ACU BCH4210,3,2,,1,2,25,4,,,,1900-01-01,1900-01-02
68,Industrial Biochemistry,ACU BCH4212,3,2,,1,2,25,4,,,,1900-01-01,1900-01-02
69,Forensic Biochemistry,ACU BCH4214,1,2,,2,2,25,4,,,,1900-01-01,1900-01-02
70,Management of Persons,ACU BUA101,2,1,,0,2,23,1,,,,1900-01-01,1900-01-02
71,Individual Work and Society,ACU BUA102,3,2,,0,2,23,1,,,,1900-01-01,1900-01-02
72,Computer Workshop Practice I,ACU COS103,1,1,,2,2,24,1,,,,1900-01-01,1900-01-02
73,Computer Workshop Practice II,ACU COS104,1,2,,2,2,24,1,,,,1900-01-01,1900-01-02
74,Computer and Society,ACU COS105,2,1,,2,2,24,1,,,,1900-01-01,1900-01-02
75,E-Services,ACU CSC108,3,2,,2,2,24,1,,,,1900-01-01,1900-01-02
76,Introduction to construction safety,ACU ECV101,3,1,,2,2,11,1,,,,1900-01-01,1900-01-02
77,Computer applications in Civil engineering,ACU ECV102,2,2,,2,2,11,1,,,,1900-01-01,1900-01-02
78,Technical communication in civil engineering,ACU ECV103,3,1,,2,2,11,1,,,,1900-01-01,1900-01-02
79,Elements of Special Education ,ACU EDU104,2,2,,0,2,10,1,,,,1900-01-01,1900-01-02
80,"Electricity,Magnetism and Optics",ACU EEE103,2,1,,1,2,12,1,,,,1900-01-01,1900-01-02
81,Ethical Issues in Workplace,ACU EHR104,3,2,,2,2,23,1,,,,1900-01-01,1900-01-02
82,Successful Employee Communication,ACU EHR108,3,2,,0,2,23,1,,,,1900-01-01,1900-01-02
83,Climate Change and Workforce,ACU EHR115,3,1,,1,2,23,1,,,,1900-01-01,1900-01-02
84,Industrial Relation and Rural Development,ACU EHR117,3,1,,1,2,23,1,,,,1900-01-01,1900-01-02
85,Introduction To Oral Literature,ACU ENG108,2,2,,1,2,17,1,,,,1900-01-01,1900-01-02
86,Introduction to Medical Humanities,ACU ENG109,2,1,,1,2,17,1,,,,1900-01-01,1900-01-02
87,Introduction to Nigerian Literature in English,ACU ENG110,2,2,,1,2,17,1,,,,1900-01-01,1900-01-02
88,Academic Writing (1),ACU ENG111,2,1,,1,2,17,1,,,,1900-01-01,1900-01-02
89,Introduction to Morphology and Syntax ,ACU ENG112,2,2,,1,2,17,1,,,,1900-01-01,1900-01-02
90,Theatre Workshop,ACU ENG114,2,2,,2,2,17,1,,,,1900-01-01,1900-01-02
91,Entrepreneurship and Business Organization,ACU ENT101,3,1,,0,2,23,1,,,,1900-01-01,1900-01-02
92,Entrepreneurship Studies I,ACU ENT109,0,1,,1,2,23,1,,,,1900-01-01,1900-01-02
93,Nature of Environmental Sciences ,ACU FES101,2,1,,2,2,33,1,,,,1900-01-01,1900-01-02
94,Basic Element of Planning ,ACU FES102,2,2,,1,2,33,1,,,,1900-01-01,1900-01-02
95,Basic Elements of Planning,ACU FES120,2,1,,0,2,16,1,,,,1900-01-01,1900-01-02
96,Intro to Finance,ACU FIN102,3,2,,0,2,22,1,,,,1900-01-01,1900-01-02
97,"Intro. to Microfinance,Small and Medium Scale Enterprises",ACU FIN103,2,1,,0,2,22,1,,,,1900-01-01,1900-01-02
98,Elements of Insurance,ACU FIN105,2,1,,0,2,22,1,,,,1900-01-01,1900-01-02
99,Personality and Social Development,ACU GCE104,2,2,,0,2,9,1,,,,1900-01-01,1900-01-02
100,Effective Communication in Counselling ,ACU GCE105,2,1,,0,2,9,1,,,,1900-01-01,1900-01-02
101,Educational Psychology and Counselling ,ACU GCE106,2,2,,0,2,9,1,,,,1900-01-01,1900-01-02
102,"Electricity,Magnetism and Optics",ACU GET103,2,1,,1,2,13,1,,,,1900-01-01,1900-01-02
103,Use of Library and ICT,ACU GST101,2,1,,0,2,17,1,,,,1900-01-01,1900-01-02
104,Anglicanism and Citizenship Education,ACU GST102,2,2,,0,2,17,1,,,,1900-01-01,1900-01-02
105,Bishop Ajayi Crowther in the History of Christianity and Education in Nigeria ,ACU HIS121,2,1,,0,2,18,1,,,,1900-01-01,1900-01-02
106,Local and Regional History ,ACU HIS126,2,2,,0,2,18,1,,,,1900-01-01,1900-01-02
107,Unit Operation,ACU ICM2207,3,2,,1,2,25,2,,,,1900-01-01,1900-01-02
108,Macromolecular Chemistry 1,ACU ICM2208,3,2,,1,2,25,2,,,,1900-01-01,1900-01-02
109,Introduction to Material Sciences,ACU ICM2210,2,2,,1,2,25,2,,,,1900-01-01,1900-01-02
110,Heat Transfer,ACU ICM3105,2,1,,1,2,25,3,,,,1900-01-01,1900-01-02
111,Environmental Chemistry,ACU ICM3107,2,1,,1,2,25,3,,,,1900-01-01,1900-01-02
112,Analytical Chemistry II,ACU ICM3111,3,1,,1,2,25,3,,,,1900-01-01,1900-01-02
113,Colour and Textile Chemistry,ACU ICM3204,3,2,,1,2,25,3,,,,1900-01-01,1900-01-02
114,Management and Chemical Industry II,ACU ICM3205,2,2,,1,2,25,3,,,,1900-01-01,1900-01-02
115,Macromolecular Chemistry II,ACU ICM4108,3,1,,1,2,25,4,,,,1900-01-01,1900-01-02
116,Natural Product Chemistry,ACU ICM4111,3,1,,2,2,25,4,,,,1900-01-01,1900-01-02
117,Special Laboratory Methods,ACU ICM4202,2,2,,2,2,25,4,,,,1900-01-01,1900-01-02
118,Agrochemical and chemotherapeutic agents,ACU ICM4206,3,2,,2,2,25,4,,,,1900-01-01,1900-01-02
119,Education and Libraries ,ACU LIS112,2,1,,0,2,8,1,,,,1900-01-01,1900-01-02
120,History of Libraries and Information Centre(Emphasis Nigeria),ACU LIS113,2,1,,0,2,8,1,,,,1900-01-01,1900-01-02
121,User Services in the Library ,ACU LIS121,2,2,,0,2,8,1,,,,1900-01-01,1900-01-02
122,Ethical Concerns of Living and Information Professionals,ACU LIS122,2,2,,0,2,8,1,,,,1900-01-01,1900-01-02
123,Library and Information Routines ,ACU LIS123,2,2,,0,2,8,1,,,,1900-01-01,1900-01-02
124,Communication skills in LIS,ACU LIS124,2,2,,1,2,8,1,,,,1900-01-01,1900-01-02
125,National Information Infrastructure,ACU LIS125,2,2,,0,2,8,1,,,,1900-01-01,1900-01-02
126,Introduction to Laboratory Practices,ACU MCB122,2,2,,1,2,28,1,,,,1900-01-01,1900-01-02
127,Basic Journalism,ACU MCM109,2,1,,0,2,7,1,,,,1900-01-01,1900-01-02
128,Use of Mathematical Software Package I â€“ Introduction to Latex,ACU MTH1208,2,2,,2,2,29,1,,,,1900-01-01,1900-01-02
129,Music Appreciation ,ACU MUS105,2,1,,0,2,19,1,,,,1900-01-01,1900-01-02
130,Peace making and Peace Enforcement,ACU PCR106,2,2,,0,2,32,1,,,,1900-01-01,1900-01-02
131,Religions in Conflict Resolution,ACU PCR107,2,1,,0,2,32,1,,,,1900-01-01,1900-01-02
132,Alternative Dispute Resolution,ACU PCR108,2,2,,0,2,32,1,,,,1900-01-01,1900-01-02
133,Community Theatre for Development ,ACU PER113,2,1,,1,2,19,1,,,,1900-01-01,1900-01-02
134,Introduction to Literature and Film ,ACU PER114,2,2,,0,2,19,1,,,,1900-01-01,1900-01-02
135,Introduction to Electronics,ACU PHY106,2,2,,1,2,26,1,,,,1900-01-01,1900-01-02
136,The Citizen and the State,ACU POL106,2,2,,0,2,31,1,,,,1900-01-01,1900-01-02
137,Introduction to Statistics for Political Science,ACU POL107,2,1,,0,2,31,1,,,,1900-01-01,1900-01-02
138,The Growth of Christianity in Oyoland,ACU RCS102,3,2,,0,2,20,1,,,,1900-01-01,1900-01-02
139,Introduction to Pentateuch,ACU RCS105,2,1,,0,2,20,1,,,,1900-01-01,1900-01-02
140,Old Testament in Christian Studies,ACU RCS108,3,2,,0,2,20,1,,,,1900-01-01,1900-01-02
141,Introduction to Religious Ethics,ACU REL04,2,2,,0,2,20,1,,,,1900-01-01,1900-01-02
142,Introduction to Philosophy  of Religion,ACU REL101,2,1,,0,2,20,1,,,,1900-01-01,1900-01-02
143,Christian Ethics in Contemporary Society,ACU REL102,2,2,,0,2,20,1,,,,1900-01-01,1900-01-02
144,Surveying Instrumentation I ,ACU SVG102,2,2,,0,2,33,1,,,,1900-01-01,1900-01-02
145,Map Reading and Interpretation ,ACU SVG103,2,1,,0,2,33,1,,,,1900-01-01,1900-01-02
146,Introduction to Agricultural Statistics and Biometrics ,AEE2102,2,1,,1,2,1,2,,,,1900-01-01,1900-01-02
147,Introduction to Agricultural Extension I,AEE2103,2,1,,0,2,1,2,,,,1900-01-01,1900-01-02
148,Introduction to Home Economics,AEE2203,2,2,,1,2,1,2,,,,1900-01-01,1900-01-02
149,Field Experimentation,AEE3101,2,1,,0,2,1,3,,,,1900-01-01,1900-01-02
150,Principles of Micro and Macroeconomics,AEE3102,2,1,,1,2,1,3,,,,1900-01-01,1900-01-02
151,Introduction to Farm Management and Production Economics ,AEE3103,2,1,,0,2,1,3,,,,1900-01-01,1900-01-02
152,Principles of rural Sociology,AEE3105,2,1,,0,2,1,3,,,,1900-01-01,1900-01-02
153,"Extension Teaching,Learning Process and Methods",AEE3202,2,2,,0,2,1,3,,,,1900-01-01,1900-01-02
154,Leadership for Agricultural and Rural Development,AEE3203,2,2,,0,2,1,3,,,,1900-01-01,1900-01-02
155,"Farm Management,Accounts and Records",AEE4101,2,1,,0,2,1,4,,,,1900-01-01,1900-01-02
156,Agricultural Marketing Techniques,AEE4102,2,1,,0,2,1,4,,,,1900-01-01,1900-01-02
157,Extension Practices,AEE4103,2,1,,0,2,1,4,,,,1900-01-01,1900-01-02
158,Community Development,AEE4104,2,1,,0,2,1,4,,,,1900-01-01,1900-01-02
159,Field Economics Survey Techniques,AEE4201,2,2,,0,2,1,4,,,,1900-01-01,1900-01-02
160,Report Writing and Seminar Presentation,AEE4202,2,2,,0,2,1,4,,,,1900-01-01,1900-01-02
161,Contemporary issues in Agricultural Extension,AEE4203,2,2,,0,2,1,4,,,,1900-01-01,1900-01-02
162,Statistics and Research Methods,AEE5101,3,1,,0,2,1,5,,,,1900-01-01,1900-01-02
163,Agricultural Production Economics,AEE5102,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
164,Agricultural Planning and Farm Project Analysis,AEE5103,2,1,,1,2,1,5,,,,1900-01-01,1900-01-02
165,Computer Application in Agriculture,AEE5104,2,1,,1,2,1,5,,,,1900-01-01,1900-01-02
166,Agricultural Business and Cooperatives,AEE5105,2,1,,1,2,1,5,,,,1900-01-01,1900-01-02
167,Resource Economics in Agriculture,AEE5106,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
168,Microeconomics in Agriculture,AEE5107,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
169,Agricultural Project Monitoring and Evaluation ,AEE5108,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
170,Introduction to Environmental Economics,AEE5109,2,1,,2,2,1,5,,,,1900-01-01,1900-01-02
171,Research Methodology,AEE5111,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
172,Diffusion and Adoption of Innovations,AEE5112,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
173,"Extension Organization,Management and Supervision",AEE5113,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
174,Administration and Programme Planning in Extension,AEE5114,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
175,Extension Methods and Audio-Visual Aids,AEE5116,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
176,Social Change Theories ,AEE5117,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
177,Extension Communication and Methods,AEE5118,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
178,Agrarian and Business Law,AEE5119,2,1,,2,2,1,5,,,,1900-01-01,1900-01-02
179,Agricultural Marketing and Trade,AEE5201,2,2,,1,2,1,5,,,,1900-01-01,1900-01-02
180,Econometrics in Agriculture,AEE5202,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
181,Macroeconomics in Agriculture,AEE5203,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
182,Agricultural Finance,AEE5204,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
183,Mathematics for Agricultural Economists,AEE5206,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
184,Policy and Development in Agriculture,AEE5207,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
185,Principles of Consumer Economics,AEE5211,2,2,,1,2,1,5,,,,1900-01-01,1900-01-02
186,Problems of Rural Social and Public Policy,AEE5212,2,2,,1,2,1,5,,,,1900-01-01,1900-01-02
187,Programme of Rural Youth Extension,AEE5213,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
188,Rural Sociology,AEE5214,2,2,,1,2,1,5,,,,1900-01-01,1900-01-02
189,Group Dynamics and Leadership in Extension,AEE5215,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
190,Extension Psychology,AEE5216,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
191,Technological and Social Change in Agriculture,AEE5217,2,2,,2,2,1,5,,,,1900-01-01,1900-01-02
192,Research Project,AEE5299,4,2,,0,2,1,5,,,,1900-01-01,1900-01-02
193,Diffusion and Adoption of Innovations ,AES5101,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
194,"Extension Organization,Management and Supervision",AES5102,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
195,Administration and Programme Planning in Extension ,AES5103,3,1,,0,2,1,5,,,,1900-01-01,1900-01-02
196,Rural Community Development ,AES5104,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
197,Extension Methods and Audio-Visual Aids,AES5105,3,1,,0,2,1,5,,,,1900-01-01,1900-01-02
198,Social Change Theories ,AES5106,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
199,Principles of Consumer Economics ,AES5201,2,2,,1,2,1,5,,,,1900-01-01,1900-01-02
200,Problems of Rural Social and Public Policy,AES5202,2,2,,1,2,1,5,,,,1900-01-01,1900-01-02
201,Programme of Rural Youth Extension ,AES5203,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
202,Advanced Rural Sociology,AES5204,2,2,,1,2,1,5,,,,1900-01-01,1900-01-02
203,Technological and Social Change in Agriculture ,AES5205,2,2,,2,2,1,5,,,,1900-01-01,1900-01-02
204,Seminar,AES5298,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
205,Research Project,AES5299,5,2,,0,2,1,5,,,,1900-01-01,1900-01-02
206,Agricultural Production Economics,AGE5101,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
207,Agricultural Planning and Farm Project Analysis ,AGE5102,2,1,,1,2,1,5,,,,1900-01-01,1900-01-02
208,Statistics and Research Methods,AGE5103,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
209,Computer Application in Agriculture ,AGE5104,2,1,,1,2,1,5,,,,1900-01-01,1900-01-02
210,Agricultural Business and Cooperatives ,AGE5105,2,1,,1,2,1,5,,,,1900-01-01,1900-01-02
211,Resource Economics in Agriculture ,AGE5106,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
212,Microeconomics in Agriculture ,AGE5107,2,1,,0,2,1,5,,,,1900-01-01,1900-01-02
213,Agricultural Marketing and Trade,AGE5201,2,2,,1,2,1,5,,,,1900-01-01,1900-01-02
214,Econometrics in Agriculture ,AGE5202,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
215,Macroeconomics in Agriculture ,AGE5203,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
216,Policy and Development in Agriculture,AGE5204,2,2,,2,2,1,5,,,,1900-01-01,1900-01-02
217,Agricultural Finance,AGE5205,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
218,Seminar,AGE5298,2,2,,0,2,1,5,,,,1900-01-01,1900-01-02
219,Research Project,AGE5299,5,2,,0,2,1,5,,,,1900-01-01,1900-01-02
220,Introduction to Agricultural Extension and Rural Development,AGR3101,1,1,,0,2,1,3,,,,1900-01-01,1900-01-02
221,Introduction to Farm Management and Production Economics ,AGR3103,2,1,,0,2,1,3,,,,1900-01-01,1900-01-02
222,Principles of Micro and Macroeconomics ,AGR3104,2,1,,0,2,1,3,,,,1900-01-01,1900-01-02
223,Applications of Computer to Agricultural Production ,AGR3105,3,1,,0,2,1,3,,,,1900-01-01,1900-01-02
224,Non Ruminant Animal Production ,AGR3108,2,1,,0,2,1,3,,,,1900-01-01,1900-01-02
225,Arable Crop Production ,AGR3112,2,1,,0,2,1,3,,,,1900-01-01,1900-01-02
226,Introduction to Soil Pedology and Physics,AGR3113,2,1,,0,2,1,3,,,,1900-01-01,1900-01-02
227,Introduction to Farm Machinery,AGR3114,3,1,,0,2,1,3,,,,1900-01-01,1900-01-02
228,Crop Genetics and Breeding,AGR3115,2,1,,0,2,1,3,,,,1900-01-01,1900-01-02
229,"Extension Teaching,Learning Process and Methods",AGR3202,2,2,,0,2,1,3,,,,1900-01-01,1900-01-02
230,Entrepreneurship in Agriculture(crop&Animal Production/Services/consultancies,AGR3206,3,2,,0,2,1,3,,,,1900-01-01,1900-01-02
231,Introduction to Statistics and Data Processing ,AGR3207,2,2,,0,2,1,3,,,,1900-01-01,1900-01-02
232,Animal Breeding and Genetics,AGR3209,2,2,,0,2,1,3,,,,1900-01-01,1900-01-02
233,Ruminant Animal Production ,AGR3210,2,2,,0,2,1,3,,,,1900-01-01,1900-01-02
234,Agricultural Biochemistry and Methods,AGR3211,2,2,,0,2,1,3,,,,1900-01-01,1900-01-02
235,Agricultural Mechanization I,AGR3216,2,2,,1,2,1,3,,,,1900-01-01,1900-01-02
236,Principles of Crop Protection ,AGR3217,2,2,,0,2,1,3,,,,1900-01-01,1900-01-02
237,Permanent Crop Production ,AGR3218,2,2,,0,2,1,3,,,,1900-01-01,1900-01-02
238,Soil Chemistry and Microbiology,AGR3219,2,2,,0,2,1,3,,,,1900-01-01,1900-01-02
239,Practical Livestock and Fisheries Production ,AGR4101,2,1,,0,2,1,4,,,,1900-01-01,1900-01-02
240,Practical Crop Production and Farm Mechanization ,AGR4102,2,1,,0,2,1,4,,,,1900-01-01,1900-01-02
241,Training in Modern Agro-based System,AGR4103,3,1,,2,2,1,4,,,,1900-01-01,1900-01-02
242,Farm Management and Extension Practices ,AGR4104,3,1,,1,2,1,4,,,,1900-01-01,1900-01-02
243,"Agricultural Products,Processing and Storage ",AGR4105,2,1,,0,2,1,4,,,,1900-01-01,1900-01-02
244,Extension Practices ,AGR4107,2,1,,0,2,1,4,,,,1900-01-01,1900-01-02
245,"Farm Management,Records and Accounts ",AGR4108,2,1,,0,2,1,4,,,,1900-01-01,1900-01-02
246,Applied Animal Breeding and Fish Population Dynamics,AGR4109,3,1,,2,2,1,4,,,,1900-01-01,1900-01-02
247,Crop Production Techniques ,AGR4112,2,1,,0,2,1,4,,,,1900-01-01,1900-01-02
248,Report Writing and Seminar Presentation ,AGR4206,3,2,,0,2,1,4,,,,1900-01-01,1900-01-02
249,Animal and Fish Farming Techniques ,AGR4210,2,2,,0,2,1,4,,,,1900-01-01,1900-01-02
250,Animal Health and Hygiene(Biosecurity),AGR4211,2,2,,0,2,1,4,,,,1900-01-01,1900-01-02
251,Silvercultural Techniques I,AGR4213,2,2,,2,2,1,4,,,,1900-01-01,1900-01-02
252,"Farm Design,Farm Survey and Land use Planning",AGR4214,2,2,,0,2,1,4,,,,1900-01-01,1900-01-02
253,Agricultural Mechanization II,AGR4215,2,2,,0,2,1,4,,,,1900-01-01,1900-01-02
254,Crop Pest and Disease Management ,AGR4216,2,2,,0,2,1,4,,,,1900-01-01,1900-01-02
255,Agricultural Meteorology ,AGR4217,2,2,,0,2,1,4,,,,1900-01-01,1900-01-02
256,Soil Fertility and Water Management ,AGR4218,2,2,,0,2,1,4,,,,1900-01-01,1900-01-02
257,Workshop Practices and Techniques ,AGR4219,2,2,,0,2,1,4,,,,1900-01-01,1900-01-02
258,Principle of Management,AMS101,2,1,,0,2,23,1,,,,1900-01-01,1900-01-02
259,Principles of Management,AMS102,2,2,,0,2,23,1,,,,1900-01-01,1900-01-02
260,Introduction to Computers,AMS103,2,1,,0,2,23,1,,,,1900-01-01,1900-01-02
261,Principles of Project Management,AMS104,2,2,,0,2,23,1,,,,1900-01-01,1900-01-02
262,Anatomy of Upper and Lower Limb,ANA201,2,1,,0,2,4,2,,,,1900-01-01,1900-01-02
263,Histology of Basic Tissue,ANA202,2,2,,0,2,4,2,,,,1900-01-01,1900-01-02
264,General and Systemic Embryology,ANA203,2,1,,0,2,4,2,,,,1900-01-01,1900-01-02
265,Anatomy of the abdomen,ANA204,2,2,,0,2,4,2,,,,1900-01-01,1900-01-02
266,"Anatomy of the Head,Neck and Thorax",ANA206,2,2,,0,2,4,2,,,,1900-01-01,1900-01-02
267,Introduction to Anatomy and Gross Anatomy of Upper and Lower Limbs,ANA2101,3,1,,0,2,4,2,,,,1900-01-01,1900-01-02
268,Gross Anatomy I ,ANA2113,3,1,,0,2,4,2,,,,1900-01-01,1900-01-02
269, Histology of Basic Tissues & Histochemistry,ANA2115,2,1,,0,2,4,2,,,,1900-01-01,1900-01-02
270,Gross Anatomy II  ,ANA2211,3,2,,0,2,4,2,,,,1900-01-01,1900-01-02
