Id,Name,Description,StateId,CreatedDate,UpdatedDate
125,Gboko,,7,4/20/2024,4/20/2024
126,Kwande,,7,4/20/2024,4/20/2024
127,Logo,,7,4/20/2024,4/20/2024
128,Makurdi,,7,4/20/2024,4/20/2024
129,Obi,,7,4/20/2024,4/20/2024
130,Ogbadibo,,7,4/20/2024,4/20/2024
131,"Ohimini, Oju",,7,4/20/2024,4/20/2024
132,Agatu,,7,4/20/2024,4/20/2024
133,Apa,,7,4/20/2024,4/20/2024
134,Okpokwu,,7,4/20/2024,4/20/2024
135,Otukpo,,7,4/20/2024,4/20/2024
136,Tarka,,7,4/20/2024,4/20/2024
137,Bayo,,8,4/20/2024,4/20/2024
138,Biu,,8,4/20/2024,4/20/2024
139,Chibok,,8,4/20/2024,4/20/2024
140,Damboa,,8,4/20/2024,4/20/2024
141,Dikwagubio,,8,4/20/2024,4/20/2024
142,Guzamala,,8,4/20/2024,4/20/2024
143,Abadan,,8,4/20/2024,4/20/2024
144,Askira/Uba,,8,4/20/2024,4/20/2024
145,Bama,,8,4/20/2024,4/20/2024
146,Gwoza,,8,4/20/2024,4/20/2024
147,Ukum,,8,4/20/2024,4/20/2024
148,Ushongo,,8,4/20/2024,4/20/2024
149,Vandeikya,,8,4/20/2024,4/20/2024
150,Kalka/Balge,,8,4/20/2024,4/20/2024
151,Maiduguri,,8,4/20/2024,4/20/2024
152,Marte,,8,4/20/2024,4/20/2024
153,Mobbar,,8,4/20/2024,4/20/2024
154,Monguno,,8,4/20/2024,4/20/2024
155,Konduga,,8,4/20/2024,4/20/2024
156,Kukawa,,8,4/20/2024,4/20/2024
157,Borno State,,8,4/20/2024,4/20/2024
158,Hawul,,8,4/20/2024,4/20/2024
159,Jere,,8,4/20/2024,4/20/2024
160,Kaga,,8,4/20/2024,4/20/2024
161,Kwaya-ku,,8,4/20/2024,4/20/2024
162,Mafa,,8,4/20/2024,4/20/2024
163,Magumeri,,8,4/20/2024,4/20/2024
164,Ngala,,8,4/20/2024,4/20/2024
165,Nganzai,,8,4/20/2024,4/20/2024
166,Shani,,8,4/20/2024,4/20/2024
167,Calabar Municipal,,9,4/20/2024,4/20/2024
168,Calabar South,,9,4/20/2024,4/20/2024
169,Etung,,9,4/20/2024,4/20/2024
170,Ikom,,9,4/20/2024,4/20/2024
171,Obanliku,,9,4/20/2024,4/20/2024
172,Abi,,9,4/20/2024,4/20/2024
173,Akamkpa,,9,4/20/2024,4/20/2024
174,Biase,,9,4/20/2024,4/20/2024
175,Boki,,9,4/20/2024,4/20/2024
176,Obubra,,9,4/20/2024,4/20/2024
177,Obudu,,9,4/20/2024,4/20/2024
178,Odukpani,,9,4/20/2024,4/20/2024
179,Akpabuyo,,9,4/20/2024,4/20/2024
180,Bakassi,,9,4/20/2024,4/20/2024
181,Bekwarra,,9,4/20/2024,4/20/2024
